Area,Boro,Area Type,Date,Median Price
All Upper West Side,Manhattan,submarket,2010-12,2700
All Upper West Side,Manhattan,submarket,2010-12,2700
All Upper West Side,Manhattan,submarket,2010-09,2750
All Upper West Side,Manhattan,submarket,2010-09,2750
All Upper West Side,Manhattan,submarket,2010-11,2800
All Upper West Side,Manhattan,submarket,2010-11,2800
All Upper West Side,Manhattan,submarket,2011-06,2900
All Upper West Side,Manhattan,submarket,2011-07,2850
All Upper West Side,Manhattan,submarket,2011-06,2900
All Upper West Side,Manhattan,submarket,2011-06,2900
All Upper West Side,Manhattan,submarket,2011-10,2895
All Upper West Side,Manhattan,submarket,2011-11,2950
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2011-11,2950
All Upper West Side,Manhattan,submarket,2011-06,2900
All Upper West Side,Manhattan,submarket,2011-11,2950
All Upper West Side,Manhattan,submarket,2011-06,2900
All Upper West Side,Manhattan,submarket,2011-06,2900
All Upper West Side,Manhattan,submarket,2012-07,2975
All Upper West Side,Manhattan,submarket,2011-11,2950
All Upper West Side,Manhattan,submarket,2012-09,2995
All Upper West Side,Manhattan,submarket,2012-07,2975
All Upper West Side,Manhattan,submarket,2012-09,2995
All Upper West Side,Manhattan,submarket,2012-09,2995
All Upper West Side,Manhattan,submarket,2011-11,2950
All Upper West Side,Manhattan,submarket,2011-11,2950
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2011-07,2850
All Upper West Side,Manhattan,submarket,2011-07,2850
All Upper West Side,Manhattan,submarket,2011-11,2950
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2011-11,2950
All Upper West Side,Manhattan,submarket,2012-09,2995
All Upper West Side,Manhattan,submarket,2011-11,2950
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2014-03,3010
All Upper West Side,Manhattan,submarket,2014-04,3150
All Upper West Side,Manhattan,submarket,2014-04,3150
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2014-09,3090
All Upper West Side,Manhattan,submarket,2014-10,3046
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2011-12,3000
All Upper West Side,Manhattan,submarket,2015-01,3095
All Upper West Side,Manhattan,submarket,2015-02,3100
All Upper West Side,Manhattan,submarket,2015-02,3100
All Upper West Side,Manhattan,submarket,2014-04,3150
All Upper West Side,Manhattan,submarket,2014-04,3150
All Upper West Side,Manhattan,submarket,2014-04,3150
All Upper West Side,Manhattan,submarket,2015-07,3250
All Upper West Side,Manhattan,submarket,2015-07,3250
All Upper West Side,Manhattan,submarket,2015-09,3300
All Upper West Side,Manhattan,submarket,2015-07,3250
All Upper West Side,Manhattan,submarket,2015-11,3200
All Upper West Side,Manhattan,submarket,2015-11,3200
All Upper West Side,Manhattan,submarket,2015-11,3200
All Upper West Side,Manhattan,submarket,2015-11,3200
All Upper West Side,Manhattan,submarket,2016-03,3226
All Upper West Side,Manhattan,submarket,2015-07,3250
All Upper West Side,Manhattan,submarket,2015-07,3250
All Upper West Side,Manhattan,submarket,2016-06,3184
All Upper West Side,Manhattan,submarket,2016-07,3195
All Upper West Side,Manhattan,submarket,2016-08,3196.5
All Upper West Side,Manhattan,submarket,2016-09,3208
All Upper West Side,Manhattan,submarket,2015-11,3200
All Upper West Side,Manhattan,submarket,2014-04,3150
All Upper West Side,Manhattan,submarket,2015-02,3100
All Upper West Side,Manhattan,submarket,2015-02,3100
All Upper West Side,Manhattan,submarket,2015-02,3100
All Upper West Side,Manhattan,submarket,2015-02,3100
All Upper West Side,Manhattan,submarket,2015-02,3100
All Upper West Side,Manhattan,submarket,2015-02,3100
All Upper West Side,Manhattan,submarket,2015-02,3100
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
Alley Park,Queens,neighborhood,2010-01,
